Date,Open,High,Low,Close,SharesTraded,Turnover(Rs.Cr)
26-Feb-2018,29554.90,29688.65,29500.00,29646.35,177680666,3824.59
27-Feb-2018,29717.90,29776.35,29453.85,29534.90,332974846,5295.21
28-Feb-2018,29349.80,29489.70,29229.20,29404.00,403814971,6073.23
01-Mar-2018,29416.40,29577.30,29169.65,29202.20,252690349,4130.88
05-Mar-2018,29107.10,29112.80,28743.90,28892.10,207201811,3939.65
06-Mar-2018,29092.40,29166.35,28523.15,28623.30,174634191,3801.30
07-Mar-2018,28579.15,28660.55,28249.95,28297.80,200135623,4023.67
08-Mar-2018,28477.50,28536.40,27968.15,28278.40,196608753,4168.07
09-Mar-2018,28412.60,28506.65,28234.30,28290.00,-,-
12-Mar-2018,28514.35,28560.40,28278.20,28503.05,186607352,3574.69
13-Mar-2018,28492.80,28904.70,28447.00,28858.30,257182560,4713.95
14-Mar-2018,28720.10,28927.70,28677.05,28892.30,220128156,3938.23
15-Mar-2018,28887.65,29035.75,28850.20,28904.95,167794480,3574.54
16-Mar-2018,28868.00,28945.10,28605.80,28647.60,232511165,5156.14
19-Mar-2018,28729.05,28741.45,28124.90,28222.05,205943142,3860.28
20-Mar-2018,28082.65,28405.25,28055.70,28358.85,173315311,3504.43
21-Mar-2018,28492.80,28672.45,28418.80,28479.05,-,-
22-Mar-2018,28483.75,28598.35,28336.30,28369.65,133091365,3112.39
23-Mar-2018,27949.05,28225.40,27892.35,28189.90,194035393,4045.00
26-Mar-2018,28232.55,28662.90,28194.35,28616.95,180898003,4077.36
27-Mar-2018,28801.80,28895.25,28683.95,28835.75,171865712,4089.24
28-Mar-2018,28734.50,28848.65,28428.55,28545.25,242619429,6409.33
02-Apr-2018,28718.90,29148.25,28635.05,29114.25,-,-
03-Apr-2018,29120.40,29482.60,29088.10,29455.55,-,-
04-Apr-2018,29535.40,29610.85,29075.50,29119.55,168404230,3797.38
05-Apr-2018,29422.30,29685.40,29408.30,29645.20,152969518,3796.94
06-Apr-2018,29686.25,30019.10,29551.85,29991.55,163854033,3866.80
09-Apr-2018,29996.65,30106.90,29949.95,30002.10,-,-
10-Apr-2018,30128.15,30143.10,29869.40,29963.20,145132619,3098.48
11-Apr-2018,30031.55,30057.05,29869.80,30005.95,132827713,3231.73
12-Apr-2018,29987.55,30094.80,29894.10,29956.75,120337695,2903.74
13-Apr-2018,30030.15,30146.75,29868.70,29946.45,140490116,3407.19
16-Apr-2018,29843.20,30118.00,29797.30,30105.05,115422088,2853.66
17-Apr-2018,30221.95,30224.80,30036.00,30165.55,124761680,2898.63
18-Apr-2018,30257.70,30278.80,30078.90,30139.40,-,-
19-Apr-2018,30269.90,30378.35,30206.35,30358.75,144547643,3448.60
20-Apr-2018,30297.45,30322.35,30120.95,30231.40,136483504,2951.33
23-Apr-2018,30263.95,30460.65,30241.85,30391.40,127004648,2997.92
24-Apr-2018,30412.40,30554.05,30332.50,30444.75,129865886,3737.71
25-Apr-2018,30458.65,30514.20,30278.15,30393.05,157612995,4160.50
