SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
LAKSHVILAS,EQ,14.75,14.75,14.75,14.75,14.75,15.5,149865,2210508.75,27-OCT-2019,533,INE694C01018,
LALPATHLAB,EQ,1580,1650,1525,1610.05,1649,1519.5,48230,76971750.35,27-OCT-2019,4301,INE600L01024,
LAMBODHARA,EQ,30.05,30.05,29.25,29.45,29.6,29.75,640,18997.5,27-OCT-2019,14,INE112F01022,
LAOPALA,EQ,173,176.65,173,173.9,174,175.7,3158,549329.3,27-OCT-2019,95,INE059D01020,
LASA,BE,18.15,18.2,17.75,17.95,18.1,17.95,8357,149788.45,27-OCT-2019,24,INE670X01014,
LAURUSLABS,EQ,345.15,354,345.15,351.85,353,346.25,10459,3676316.55,27-OCT-2019,261,INE947Q01010,
LAXMIMACH,EQ,3744,3744,3666.5,3695.4,3710.05,3628.45,2093,7742835.6,27-OCT-2019,408,INE269B01029,
LEMONTREE,EQ,59.4,60.15,59,59.95,59.95,58.95,116509,6957911.1,27-OCT-2019,860,INE970X01018,
LFIC,EQ,56.65,56.65,51.5,51.65,51.5,51.5,117,6064.65,27-OCT-2019,7,INE850E01012,
LGBBROSLTD,EQ,250,261,249.05,259.45,255.05,248.9,1855,476760.65,27-OCT-2019,122,INE337A01034,
LGBFORGE,EQ,2.4,2.8,2.4,2.6,2.6,2.6,14852,37690.4,27-OCT-2019,15,INE201J01017,
LIBAS,EQ,60,60,60,60,60,55,5,300,27-OCT-2019,1,INE908V01012,
LIBERTSHOE,EQ,117.9,118.9,116.5,116.95,116.8,118.4,22914,2692681.1,27-OCT-2019,416,INE557B01019,
LICHSGFIN,EQ,378.4,378.4,374.85,376.05,375.7,374.4,276616,104074215.35,27-OCT-2019,5161,INE115A01026,
LICNETFGSC,EQ,22.5,22.5,20.25,21.32,20.81,21.44,13316,286251.27,27-OCT-2019,48,INF767K01MV5,
LICNETFN50,EQ,126,137,120.02,123.14,123,133.8,904,119012.64,27-OCT-2019,77,INF767K01OS7,
LINCOLN,EQ,159.5,159.5,154.1,156.85,155.1,158.05,4036,638218.2,27-OCT-2019,184,INE405C01035,
LINCPEN,EQ,171.4,181.05,171.4,179.8,178,182.7,159,28122.7,27-OCT-2019,25,INE802B01019,
LINDEINDIA,EQ,530.2,561,530.2,547.2,546,535.3,17974,9917121.05,27-OCT-2019,843,INE473A01011,
LIQUIDBEES,EQ,1000,1010,999.3,1000.04,1000.04,1000,62880,62883993.33,27-OCT-2019,1172,INF732E01037,
LIQUIDETF,EQ,999.99,1000.01,999.99,1000,1000,1000,4373,4373010.57,27-OCT-2019,54,INF740KA1EU7,
LOKESHMACH,EQ,36.3,36.3,34.6,35.3,35.45,35.25,1453,51182.35,27-OCT-2019,79,INE397H01017,
LOTUSEYE,EQ,21.95,21.95,21.45,21.45,21.45,19.55,28,608.6,27-OCT-2019,6,INE947I01017,
